param demand :=

[1,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	
4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	2	1	1	1	1	0	1	1	
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	
6	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	1	3	2	2	3	2	3	2	1	2	2	1	1	
7	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
																													
[2,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	1	1	2	2	2	1	3	2	3	3	3	2	1	3	2	2	2	3	3	2	4	3	3	1	1	1	
2	2	1	1	1	2	2	2	2	2	1	3	3	3	2	3	3	2	4	4	3	3	3	4	4	4	4	2	2	
3	2	1	1	1	2	2	2	2	4	3	2	2	2	2	2	1	2	1	4	3	3	4	3	3	2	4	2	2	
4	1	1	1	1	1	1	3	3	1	3	1	2	1	2	2	1	2	3	2	3	2	2	1	1	3	1	2	2	
5	1	1	1	1	2	2	2	1	2	3	3	1	2	2	2	1	4	3	3	2	4	0	5	4	3	4	3	3	
6	1	1	1	1	1	1	2	1	3	2	4	4	3	2	1	2	3	4	2	3	2	4	3	0	2	3	1	3	
7	2	1	1	1	1	1	2	1	2	2	2	2	2	2	1	2	2	1	2	3	4	3	2	2	2	3	1	1	
																													
[3,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	2	2	1	3	2	3	2	2	2	3	1	4	3	2	2	1	3	4	2	3	2	3	5	3	4	5	2	1	
2	2	2	3	4	2	3	5	4	4	2	5	3	4	2	1	3	5	4	2	5	3	2	7	4	4	5	1	1	
3	2	3	2	4	3	4	5	4	4	3	4	3	5	2	2	3	3	4	3	4	2	4	3	3	4	3	2	2	
4	1	2	3	2	3	3	5	3	4	3	4	2	3	2	3	2	1	3	2	4	4	4	2	3	4	3	1	3	
5	2	2	3	3	4	3	2	4	3	3	4	5	3	2	3	6	3	3	2	3	5	5	5	7	5	5	2	3	
6	3	2	2	3	5	2	6	6	5	3	5	4	4	4	2	5	5	4	2	3	3	4	4	3	5	4	1	1	
7	2	3	2	2	2	2	5	4	5	3	5	8	4	4	3	5	5	6	4	4	3	3	3	3	3	3	1	1	
																													
																													
[4,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	3	3	1	2	3	4	4	4	4	4	3	1	2	3	2	3	2	2	4	5	5	6	3	5	2	1	
2	2	2	2	2	3	4	4	2	2	3	2	4	4	3	3	3	2	2	4	5	5	5	4	4	5	4	3	3	
3	3	2	3	2	2	2	1	3	5	4	3	4	4	3	3	2	4	3	4	5	3	5	4	3	2	5	2	2	
4	1	2	2	3	2	5	3	3	1	1	3	4	3	1	2	3	4	5	2	2	2	3	5	5	3	2	1	2	
5	0	0	1	2	2	2	2	3	3	3	2	3	3	3	3	2	3	4	4	4	4	5	2	4	3	4	2	2	
6	2	1	3	1	1	2	3	4	2	4	6	3	5	6	3	5	5	4	3	7	6	4	8	4	3	5	2	2	
7	1	1	1	3	2	3	2	3	4	2	5	6	7	6	3	3	3	5	9	9	6	2	5	5	5	5	1	1	;
